name,street,city,age,email,price_issue,quality_issue,service_issue,delivery_issue,description_issue,product_code,quarter
Kathy Lee,789 Pine Rd,Lakeside,29,kathy.lee@example.com,False,False,True,False,False,C,2021-Q4
Cathy L.,789 Pine Road,Lakeside,29,cathy.l@example.com,False,False,True,False,False,C,2021-Q3
C. Lee,789 Pine Road,Lakeside,29,c.lee@example.com,False,False,True,False,False,C,2021-Q3
Cathy Lee,789 Pine Road,Lakeside,29,cathy.lee@sample.com,False,False,True,False,False,C,2021-Q3
John Smith,123 Elm Street,Springfield,45,john.smith@example.com,True,False,False,False,False,A,2022-Q1
Jane Doe,456 Oak Avenue,Rivertown,34,jane.doe@example.com,False,True,False,False,False,B,2022-Q2
Michael Brown,789 Maple Lane,Hilltop,52,michael.brown@example.com,False,False,False,True,False,D,2022-Q3
Emily White,321 Birch Boulevard,Lakeside,28,emily.white@example.com,False,False,False,False,True,E,2022-Q4
Robert Green,654 Cedar Court,Meadowville,39,robert.green@example.com,True,True,False,False,False,F,2023-Q1
Laura Black,987 Pine Road,Lakeside,31,laura.black@example.com,False,False,True,False,False,C,2023-Q2
David Johnson,159 Spruce Street,Rivertown,47,david.johnson@example.com,False,True,False,True,False,G,2023-Q3
Sophia Martinez,753 Willow Way,Springfield,26,sophia.martinez@example.com,True,False,False,False,True,H,2023-Q4
James Wilson,852 Aspen Drive,Hilltop,50,james.wilson@example.com,False,True,True,False,False,A,2023-Q1
Olivia Taylor,951 Poplar Place,Meadowville,33,olivia.taylor@example.com,False,False,False,True,True,B,2023-Q2
Liam Anderson,753 Willow Way,Springfield,29,liam.anderson@example.com,True,False,False,False,False,C,2023-Q3
Emma Thomas,357 Cherry Circle,Rivertown,42,emma.thomas@example.com,False,True,False,False,False,D,2023-Q4
Noah Harris,246 Pine Road,Lakeside,37,noah.harris@example.com,False,False,True,False,False,E,2023-Q1
Ava Clark,135 Maple Lane,Hilltop,30,ava.clark@example.com,True,False,False,True,False,F,2023-Q2
William Lewis,864 Birch Boulevard,Meadowville,55,william.lewis@example.com,False,True,False,False,True,G,2023-Q3
Sarah Brown,321 Birch Lane,Hilltop,50,sarah.brown@example.com,False,False,False,True,False,D,2023-Q1
Michael Brown,321 Birch Lane,Hilltop,54,michael.brown@example.com,False,False,False,True,False,D,2023-Q1
Emily Brown,321 Birch Lane,Hilltop,28,emily.brown@example.com,False,False,False,True,False,D,2023-Q1
James Brown,321 Birch Lane,Hilltop,30,james.brown@example.com,False,False,False,True,False,D,2023-Q1
Laura Brown,321 Birch Lane,Hilltop,48,laura.brown@example.com,False,False,False,True,False,D,2023-Q1
John Smith,123 Maple Street,Riverside,34,john.smith@example.com,True,False,False,False,False,A,2023-Q2
Alice Johnson,456 Oak Avenue,Lakeside,29,alice.johnson@example.com,False,True,False,False,False,B,2023-Q3
Robert Lee,789 Pine Road,Mountainview,42,robert.lee@example.com,False,False,True,False,False,C,2023-Q4
Jessica White,101 Elm Street,Seaside,37,jessica.white@example.com,False,False,False,True,False,E,2023-Q1
Daniel Green,202 Cedar Lane,Hilltop,45,daniel.green@example.com,False,False,False,False,True,F,2023-Q2
Sophia Black,303 Willow Way,Riverside,31,sophia.black@example.com,True,False,False,False,False,G,2023-Q3
Ethan Brown,404 Spruce Street,Lakeside,39,ethan.brown@example.com,False,True,False,False,False,H,2023-Q4
Olivia Davis,505 Aspen Avenue,Mountainview,26,olivia.davis@example.com,False,False,True,False,False,A,2023-Q1
Liam Wilson,606 Birch Boulevard,Seaside,33,liam.wilson@example.com,False,False,False,True,False,B,2023-Q2
Emma Martinez,707 Cherry Circle,Riverside,40,emma.martinez@example.com,False,False,False,False,True,C,2023-Q3
Noah Anderson,808 Dogwood Drive,Lakeside,36,noah.anderson@example.com,True,False,False,False,False,D,2023-Q4
Ava Thomas,909 Fir Lane,Mountainview,38,ava.thomas@example.com,False,True,False,False,False,E,2023-Q1
William Harris,1010 Hemlock Street,Seaside,41,william.harris@example.com,False,False,True,False,False,F,2023-Q2
Isabella Clark,1111 Ivy Road,Riverside,32,isabella.clark@example.com,False,False,False,True,False,G,2023-Q3
Mason Lewis,1212 Juniper Avenue,Lakeside,35,mason.lewis@example.com,False,False,False,False,True,H,2023-Q4
Evan Greene,654 Cedar Court,Meadowville,42,evan.greene@example.com,False,False,False,False,True,E,2020-Q4
Eve Green,654 Cedar Court,Meadowville,41,eve.green@example.com,False,False,False,False,True,E,2020-Q4
Eva Greene,654 Cedar Court,Meadowville,41,eva.greene2@example.com,False,False,False,False,True,E,2020-Q4
Evan Green,654 Cedar Court,Meadowville,40,evan.green@example.com,False,False,False,False,True,E,2020-Q4
Eva Green,654 Cedar Lane,Meadowville,41,eva.green@example.com,False,False,False,False,True,E,2020-Q4
John Doe,123 Maple Street,Springfield,35,john.doe@example.com,True,False,False,False,False,A,2021-Q1
Jane Smith,456 Oak Avenue,Rivertown,28,jane.smith@example.com,False,True,False,False,False,B,2021-Q2
Alice Johnson,789 Pine Road,Lakeside,50,alice.johnson@example.com,False,False,True,False,False,C,2021-Q3
Bob Brown,321 Birch Lane,Hilltop,45,bob.brown@example.com,False,False,False,True,False,D,2021-Q4
Charlie Black,654 Cedar Court,Meadowville,41,charlie.black@example.com,False,False,False,False,True,E,2020-Q4
Diana White,987 Elm Street,Forestville,33,diana.white@example.com,True,True,False,False,False,F,2022-Q1
Edward King,654 Cedar Court,Meadowville,41,edward.king@example.com,False,False,False,False,True,E,2020-Q4
Fiona Blue,123 Maple Street,Springfield,29,fiona.blue@example.com,False,False,True,True,False,G,2022-Q2
George Red,456 Oak Avenue,Rivertown,37,george.red@example.com,True,False,False,True,False,H,2022-Q3
Hannah Green,789 Pine Road,Lakeside,52,hannah.green@example.com,False,True,True,False,False,A,2022-Q4
Ian Grey,321 Birch Lane,Hilltop,47,ian.grey@example.com,False,False,False,False,True,B,2023-Q1
Jack White,987 Elm Street,Forestville,39,jack.white@example.com,True,False,True,False,False,C,2023-Q2
Karen Black,654 Cedar Court,Meadowville,41,karen.black@example.com,False,False,False,False,True,E,2020-Q4
Liam Brown,123 Maple Street,Springfield,34,liam.brown@example.com,False,True,False,True,False,D,2023-Q3
Mia Blue,456 Oak Avenue,Rivertown,30,mia.blue@example.com,True,False,True,False,False,F,2023-Q4
Evan Green,654 Cedar Court,Meadowville,42,evan.green@example.com,False,False,False,False,True,E,2020-Q4
Eva Greene,655 Cedar Court,Meadowville,41,eva.greene3@example.com,False,False,False,True,False,E,2020-Q4
Eve Green,654 Cedar Lane,Meadowville,41,eve.green@example.com,False,True,False,False,False,E,2020-Q4
Eva Greene,654 Cedar Court,Meadowville,40,eva.greene4@example.com,True,False,False,False,False,E,2020-Q4
Evan Greene,654 Cedar Court,Meadowville,41,evan.greene2@example.com,False,False,True,False,False,E,2020-Q4
Alice Johnson,123 Maple Street,Springfield,35,alice.johnson@example.com,True,False,False,False,False,A,2021-Q1
Bob Smith,456 Oak Avenue,Rivertown,28,bob.smith@example.com,False,True,False,False,False,B,2021-Q2
Carol White,789 Pine Road,Lakeside,50,carol.white@example.com,False,False,True,False,False,C,2021-Q3
David Brown,321 Birch Lane,Hilltop,45,david.brown@example.com,False,False,False,True,False,D,2021-Q4
Emma Davis,654 Cedar Court,Meadowville,41,emma.davis@example.com,False,False,False,False,True,E,2022-Q1
Frank Harris,987 Elm Street,Forestville,60,frank.harris@example.com,True,False,False,False,False,F,2022-Q2
Grace Lee,654 Cedar Court,Meadowville,41,grace.lee@example.com,False,False,False,False,True,E,2022-Q3
Henry Wilson,111 Spruce Street,Seaside,33,henry.wilson@example.com,False,True,False,False,False,G,2022-Q4
Ivy Martinez,222 Willow Way,Riverside,29,ivy.martinez@example.com,False,False,True,False,False,H,2023-Q1
Jack Taylor,333 Aspen Avenue,Mountainview,38,jack.taylor@example.com,False,False,False,True,False,A,2023-Q2
Kathy Brown,444 Poplar Place,Valleytown,47,kathy.brown@example.com,True,False,False,False,False,B,2023-Q3
Liam Scott,555 Cypress Circle,Brookfield,52,liam.scott@example.com,False,True,False,False,False,C,2023-Q4
Mia Clark,666 Redwood Road,Clifftown,26,mia.clark@example.com,False,False,True,False,False,D,2024-Q1
Noah Lewis,777 Fir Street,Bayview,31,noah.lewis@example.com,False,False,False,True,False,E,2024-Q2
Olivia Walker,888 Cedar Court,Meadowville,41,olivia.walker@example.com,False,False,False,False,True,E,2024-Q3
Jessica Johnson,556 Alias Street,Hell's Kitchen,33,jessica.johnson@example.com,True,False,False,False,False,A,2023-Q4
Jessie Jones,555 Alias Avenue,Hell's Kitchen,31,jessie.jones@example.com,True,False,False,False,False,A,2023-Q4
Jessica J.,555 Alias Street,Hell's Kitchen,32,j.jones@example.com,True,False,False,False,False,A,2023-Q4
J. Jones,555 Alias St,Hell's Kitchen,32,jones.jessica@example.com,True,False,False,False,False,A,2023-Q4
Jessica J. Smith,555 Alias Street,Hell's Kitchen,32,jessica.smith@example.com,True,False,False,False,False,A,2023-Q4
Michael Brown,123 Elm Street,Springfield,45,michael.brown@example.com,False,True,False,False,False,B,2023-Q3
Sarah Connor,789 Maple Avenue,Metropolis,29,sarah.connor@example.com,False,False,True,False,False,C,2023-Q2
John Doe,456 Oak Lane,Gotham,38,john.doe@example.com,False,False,False,True,False,D,2023-Q1
Emily White,321 Pine Road,Star City,27,emily.white@example.com,False,False,False,False,True,E,2022-Q4
David Smith,654 Cedar Street,Central City,50,david.smith@example.com,True,False,False,False,False,F,2022-Q3
Laura Green,987 Birch Boulevard,Coast City,34,laura.green@example.com,False,True,False,False,False,G,2022-Q2
Robert Black,159 Spruce Street,Smallville,42,robert.black@example.com,False,False,True,False,False,H,2022-Q1
Anna Blue,753 Willow Way,Bludhaven,36,anna.blue@example.com,False,False,False,True,False,A,2021-Q4
James Red,852 Ash Avenue,Fawcett City,39,james.red@example.com,False,False,False,False,True,B,2021-Q3
Olivia Purple,951 Poplar Place,Keystone City,28,olivia.purple@example.com,True,False,False,False,False,C,2021-Q2
Liam Yellow,357 Fir Street,National City,31,liam.yellow@example.com,False,True,False,False,False,D,2021-Q1
Sophia Orange,258 Redwood Road,Opal City,26,sophia.orange@example.com,False,False,True,False,False,E,2020-Q4
Noah Pink,654 Cypress Circle,Hub City,40,noah.pink@example.com,False,False,False,True,False,F,2020-Q3
Mia Gray,951 Hemlock Lane,Gateway City,35,mia.gray@example.com,False,False,False,False,True,G,2020-Q2
Ethan White,753 Alder Avenue,Ivy Town,37,ethan.white@example.com,True,False,False,False,False,H,2020-Q1
Robert Smith,456 Oak Avenue,Rivertown,46,robert.smith@example.com,False,True,False,False,False,B,2022-Q4
Barbara Johnson,789 Pine Street,Rivertown,44,barbara.johnson@example.com,False,True,False,False,False,B,2022-Q4
John Smith,456 Oak Avenue,Rivertown,44,john.smith@example.com,False,True,False,False,False,B,2022-Q4
Barbara Lee,123 Maple Drive,Rivertown,44,barbara.lee@example.com,False,True,False,False,False,B,2022-Q4
Barbara Smithson,456 Oak Avenue,Rivertown,44,barbara.smithson@example.com,False,True,False,False,False,B,2022-Q4
Alice Brown,12 Elm Street,Springfield,30,alice.brown@example.com,True,False,False,False,False,A,2023-Q1
Michael Green,34 Birch Lane,Lakeside,52,michael.green@example.com,False,False,True,False,False,C,2023-Q2
Jessica White,56 Cedar Road,Hilltown,28,jessica.white@example.com,False,False,False,True,False,D,2023-Q3
David Black,78 Willow Avenue,Seaside,40,david.black@example.com,False,False,False,False,True,E,2023-Q4
Emily Davis,90 Poplar Street,Rivertown,35,emily.davis@example.com,True,False,False,False,False,F,2022-Q3
James Wilson,23 Spruce Lane,Hilltown,60,james.wilson@example.com,False,True,False,False,False,G,2023-Q1
Sophia Martinez,45 Aspen Court,Lakeside,27,sophia.martinez@example.com,False,False,True,False,False,H,2023-Q2
Daniel Thompson,67 Redwood Drive,Springfield,50,daniel.thompson@example.com,False,False,False,True,False,A,2023-Q3
Olivia Anderson,89 Cypress Avenue,Seaside,33,olivia.anderson@example.com,False,False,False,False,True,B,2023-Q4
Liam Harris,101 Pine Street,Rivertown,45,liam.harris@example.com,True,False,False,False,False,C,2022-Q2
Emma Clark,202 Oak Avenue,Springfield,29,emma.clark@example.com,False,True,False,False,False,D,2022-Q1
Noah Lewis,303 Birch Lane,Hilltown,38,noah.lewis@example.com,False,False,True,False,False,E,2022-Q3
Ava Walker,404 Cedar Road,Lakeside,42,ava.walker@example.com,False,False,False,True,False,F,2022-Q4
William Hall,505 Willow Avenue,Seaside,55,william.hall@example.com,False,False,False,False,True,G,2023-Q1
Isabella Young,606 Poplar Street,Rivertown,31,isabella.young@example.com,True,False,False,False,False,H,2023-Q2
Liam Blue,456 Oak Avenue,Rivertown,28,liam.blue@example.com,False,True,True,False,False,F,2023-Q4
Sophia Blue,456 Oak Avenue,Rivertown,32,sophia.blue@example.com,True,False,False,True,False,F,2023-Q3
Noah Blue,456 Oak Avenue,Rivertown,35,noah.blue@example.com,False,False,True,True,False,F,2023-Q2
Olivia Blue,456 Oak Avenue,Rivertown,29,olivia.blue@example.com,True,True,False,False,False,F,2023-Q1
Ethan Blue,456 Oak Avenue,Rivertown,31,ethan.blue@example.com,False,False,True,False,True,F,2023-Q4
Ava Green,789 Pine Street,Lakeside,27,ava.green@example.com,True,False,False,True,False,A,2023-Q2
James Brown,123 Maple Road,Hilltown,45,james.brown@example.com,False,True,False,False,True,B,2023-Q1
Emma White,321 Birch Lane,Seaside,34,emma.white@example.com,True,True,False,False,False,C,2023-Q3
Lucas Black,654 Cedar Avenue,Mountainview,39,lucas.black@example.com,False,False,True,True,False,D,2023-Q4
Isabella Gray,987 Spruce Street,Valleytown,26,isabella.gray@example.com,True,False,False,False,True,E,2023-Q2
Mason White,159 Elm Street,Rivertown,40,mason.white@example.com,False,True,True,False,False,G,2023-Q1
Amelia Brown,753 Willow Drive,Lakeside,33,amelia.brown@example.com,True,False,False,True,False,H,2023-Q3
Logan Green,852 Aspen Road,Hilltown,29,logan.green@example.com,False,True,False,False,True,A,2023-Q4
Charlotte Black,951 Oak Avenue,Seaside,37,charlotte.black@example.com,True,False,True,False,False,B,2023-Q2
Benjamin Gray,753 Pine Street,Mountainview,42,benjamin.gray@example.com,False,False,False,True,True,C,2023-Q1
Mia Red,456 Oak Avenue,Rivertown,30,mia.red@example.com,True,False,True,False,False,F,2023-Q4
Evelyn Blue,456 Oak Avenue,Rivertown,33,evelyn.blue@example.com,False,True,False,True,False,F,2023-Q3
Henry Blue,456 Oak Avenue,Rivertown,36,henry.blue@example.com,True,False,True,False,True,F,2023-Q2
Ella Blue,456 Oak Avenue,Rivertown,31,ella.blue@example.com,False,True,False,False,False,F,2023-Q1
Oliver Blue,456 Oak Avenue,Rivertown,34,oliver.blue@example.com,True,False,True,True,False,F,2023-Q4
Emma Brown,321 Birch Lane,Hilltop,29,emma.brown@example.com,False,False,False,True,False,D,2023-Q1
Ethan Brown,321 Birch Lane,Hilltop,30,ethan.brown@example.com,False,False,False,True,False,D,2023-Q1
Ella Brown,321 Birch Lane,Hilltop,27,ella.brown@example.com,False,False,False,True,False,D,2023-Q1
Evan Brown,321 Birch Lane,Hilltop,31,evan.brown@example.com,False,False,False,True,False,D,2023-Q1
Erin Brown,321 Birch Lane,Hilltop,28,erin.brown@example.com,False,False,False,True,False,D,2023-Q1
John Smith,123 Oak Street,Riverside,45,john.smith@example.com,True,False,False,False,False,A,2023-Q2
Jane Doe,456 Pine Avenue,Lakeside,34,jane.doe@example.com,False,True,False,False,False,B,2023-Q3
Michael Johnson,789 Maple Drive,Summerville,52,michael.johnson@example.com,False,False,True,False,False,C,2023-Q4
Sarah Lee,101 Elm Street,Greenfield,29,sarah.lee@example.com,False,False,False,False,True,E,2023-Q1
David Kim,202 Cedar Lane,Brookside,40,david.kim@example.com,True,True,False,False,False,F,2023-Q2
Laura Wilson,303 Spruce Road,Hilltop,37,laura.wilson@example.com,False,False,True,True,False,G,2023-Q3
Chris Evans,404 Willow Way,Riverside,50,chris.evans@example.com,False,True,False,False,True,H,2023-Q4
Anna Taylor,505 Aspen Court,Lakeside,33,anna.taylor@example.com,True,False,False,True,False,A,2023-Q1
James Anderson,606 Birch Boulevard,Summerville,42,james.anderson@example.com,False,True,True,False,False,B,2023-Q2
Olivia Martinez,707 Cherry Circle,Greenfield,26,olivia.martinez@example.com,False,False,False,True,True,C,2023-Q3
Daniel Harris,808 Dogwood Drive,Brookside,38,daniel.harris@example.com,True,False,False,False,False,D,2023-Q4
Sophia Clark,909 Fir Lane,Hilltop,31,sophia.clark@example.com,False,True,False,False,False,E,2023-Q1
Liam Lewis,1010 Hemlock Street,Riverside,47,liam.lewis@example.com,False,False,True,True,False,F,2023-Q2
Mia Walker,1111 Ivy Avenue,Lakeside,35,mia.walker@example.com,True,False,False,False,True,G,2023-Q3
Noah Hall,1212 Juniper Road,Summerville,44,noah.hall@example.com,False,True,False,True,False,H,2023-Q4
Bob Johnson,789 Pine Road,Lakeside,52,bob.johnson@example.com,False,False,True,False,False,C,2021-Q3
Alice Smith,789 Pine Road,Lakeside,48,alice.smith@example.com,False,False,True,False,False,C,2021-Q3
Charlie Johnson,789 Pine Road,Lakeside,50,charlie.johnson@example.com,False,False,True,False,False,C,2021-Q3
Alice Johnson,123 Oak Street,Lakeside,50,alice.j@example.com,False,False,True,False,False,C,2021-Q3
Alice Johnson,789 Pine Road,Lakeside,50,alice.johnson@anothermail.com,False,False,True,False,False,C,2021-Q3
David Brown,456 Maple Avenue,Riverside,34,david.brown@example.com,True,False,False,False,False,A,2022-Q1
Emma Green,321 Birch Lane,Hilltop,29,emma.green@example.com,False,True,False,False,False,B,2022-Q2
Frank White,654 Cedar Street,Valleyview,45,frank.white@example.com,False,False,False,True,False,D,2022-Q3
Grace Black,987 Elm Road,Summerville,38,grace.black@example.com,False,False,False,False,True,E,2022-Q4
Henry Blue,159 Spruce Drive,Brookside,60,henry.blue@example.com,True,True,False,False,False,F,2023-Q1
Ivy Red,753 Willow Way,Meadowland,27,ivy.red@example.com,False,False,True,True,False,G,2023-Q2
Jack Orange,852 Aspen Court,Pineville,41,jack.orange@example.com,False,False,False,False,True,H,2023-Q3
Kara Yellow,951 Poplar Place,Cedarwood,33,kara.yellow@example.com,True,False,False,False,True,A,2023-Q4
Liam Purple,147 Fir Street,Oakridge,36,liam.purple@example.com,False,True,True,False,False,B,2024-Q1
Mia Pink,258 Pine Avenue,Mapleton,22,mia.pink@example.com,False,False,False,True,True,C,2024-Q2
Noah Gray,369 Cherry Lane,Elmwood,55,noah.gray@example.com,True,False,True,False,False,D,2024-Q3
Olivia Silver,741 Walnut Street,Pinecrest,47,olivia.silver@example.com,False,True,False,True,False,E,2024-Q4
Paul Gold,963 Beech Road,Willowbrook,39,paul.gold@example.com,False,False,True,False,True,F,2025-Q1
Quinn Bronze,852 Hemlock Avenue,Riverbend,31,quinn.bronze@example.com,True,True,False,False,False,G,2025-Q2
Ruby Copper,147 Cypress Street,Stonebridge,44,ruby.copper@example.com,False,False,False,True,True,H,2025-Q3
Isabella W. Walker,468 Cypress Avenue,Greenfield,34,isabella.w.walker@example.com,False,False,False,False,True,H,2023-Q3
Isaac Walker,470 Cypress Avenue,Greenfield,36,isaac.walker@example.com,False,False,True,False,False,H,2023-Q3
Isabelle Walker,468 Cypress Avenue,Greenfield,34,isabelle.walker@example.com,False,True,False,False,False,H,2023-Q3
Isabella Walker,468 Cypress Avenue,Greenfield,34,isabella.w@example.com,True,False,False,False,False,H,2023-Q3
Isabella Walker,468 Cypress Avenue,Greenfield,34,isabella.walker@anothermail.com,False,False,False,True,False,H,2023-Q3
John Doe,123 Elm Street,Springfield,45,john.doe@example.com,True,False,False,False,False,A,2023-Q1
Jane Smith,456 Oak Avenue,Rivertown,29,jane.smith@example.com,False,True,False,False,False,B,2023-Q2
Emily Johnson,789 Pine Road,Lakeside,38,emily.johnson@example.com,False,False,True,False,False,C,2023-Q3
Michael Brown,321 Maple Lane,Hilltop,52,michael.brown@example.com,False,False,False,True,False,D,2023-Q4
Sarah Davis,654 Birch Boulevard,Valleyview,41,sarah.davis@example.com,False,False,False,False,True,E,2023-Q1
David Wilson,987 Cedar Street,Mountainville,33,david.wilson@example.com,True,False,False,False,False,F,2023-Q2
Laura Martinez,159 Spruce Avenue,Seaside,27,laura.martinez@example.com,False,True,False,False,False,G,2023-Q3
James Taylor,753 Willow Way,Riverside,46,james.taylor@example.com,False,False,True,False,False,H,2023-Q4
Patricia Anderson,852 Aspen Drive,Foresthill,39,patricia.anderson@example.com,False,False,False,True,False,A,2023-Q1
Robert Thomas,951 Poplar Street,Brookside,50,robert.thomas@example.com,True,False,False,False,False,B,2023-Q2
Linda Jackson,357 Fir Lane,Meadowland,44,linda.jackson@example.com,False,True,False,False,False,C,2023-Q3
Christopher White,258 Redwood Road,Clifftown,31,christopher.white@example.com,False,False,True,False,False,D,2023-Q4
Barbara Harris,654 Cypress Avenue,Greenfield,34,barbara.harris@example.com,False,False,False,False,True,E,2023-Q1
William Martin,123 Pine Street,Lakeside,29,william.martin@example.com,True,False,False,False,False,F,2023-Q2
Elizabeth Thompson,456 Oak Avenue,Rivertown,38,elizabeth.thompson@example.com,False,True,False,False,False,G,2023-Q3
Laura Green,321 Birch Lane,Hilltop,50,laura.green@example.com,False,False,False,True,False,D,2023-Q1
Laura Brown,322 Birch Lane,Hilltop,48,laura.brown2@example.com,False,False,False,True,False,D,2023-Q2
Lara Brown,321 Birch Lane,Hilltop,47,lara.brown@example.com,False,False,False,True,False,D,2023-Q1
Laura Brown,321 Birch Lane,Hilltop,48,laura.brown3@example.com,False,False,True,True,False,D,2023-Q1
Laura Brown,321 Birch Lane,Hilltop,48,laura.brown4@example.com,False,True,False,True,False,D,2023-Q1
John Smith,123 Oak Street,Riverside,35,john.smith@example.com,True,False,False,False,False,A,2023-Q2
Emily Johnson,456 Pine Avenue,Lakeside,29,emily.johnson@example.com,False,True,False,False,False,B,2023-Q3
Michael Williams,789 Maple Road,Hilltop,42,michael.williams@example.com,False,False,True,False,False,C,2023-Q1
Sarah Davis,101 Elm Street,Riverside,37,sarah.davis@example.com,False,False,False,True,True,E,2023-Q4
David Wilson,202 Cedar Lane,Lakeside,50,david.wilson@example.com,True,True,False,False,False,F,2023-Q2
Jessica Martinez,303 Spruce Drive,Hilltop,28,jessica.martinez@example.com,False,False,True,True,False,G,2023-Q3
Daniel Anderson,404 Walnut Street,Riverside,45,daniel.anderson@example.com,False,True,False,False,True,H,2023-Q1
Sophia Thomas,505 Chestnut Avenue,Lakeside,33,sophia.thomas@example.com,True,False,False,True,False,A,2023-Q4
James Taylor,606 Ash Boulevard,Hilltop,39,james.taylor@example.com,False,True,True,False,False,B,2023-Q2
Olivia Moore,707 Poplar Lane,Riverside,31,olivia.moore@example.com,False,False,False,True,True,C,2023-Q3
William Jackson,808 Fir Street,Lakeside,46,william.jackson@example.com,True,False,True,False,False,D,2023-Q1
Ava White,909 Willow Road,Hilltop,27,ava.white@example.com,False,True,False,True,False,E,2023-Q2
Ethan Harris,1010 Cypress Avenue,Riverside,52,ethan.harris@example.com,False,False,True,False,True,F,2023-Q4
Mia Martin,1111 Redwood Street,Lakeside,36,mia.martin@example.com,True,False,False,True,False,G,2023-Q3
